Role,Action
Cloud Application Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read
Cloud Application Administrator,microsoft.directory/signInReports/allProperties/read
Cloud Application Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Cloud Application Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Cloud Application Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Cloud Application Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Cloud Application Administrator,microsoft.office365.webPortal/allEntities/standard/read
Customer LockBox Access Approver,microsoft.office365.lockbox/allEntities/allTasks
Customer LockBox Access Approver,microsoft.office365.webPortal/allEntities/standard/read
Dynamics 365 Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Dynamics 365 Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Dynamics 365 Administrator,microsoft.dynamics365/allEntities/allTasks
Dynamics 365 Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Dynamics 365 Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Dynamics 365 Administrator,microsoft.office365.webPortal/allEntities/standard/read
Power BI Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Power BI Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Power BI Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Power BI Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Power BI Administrator,microsoft.office365.webPortal/allEntities/standard/read
Power BI Administrator,microsoft.powerApps.powerBI/allEntities/allTasks
Conditional Access Administrator,microsoft.directory/namedLocations/create
Conditional Access Administrator,microsoft.directory/namedLocations/delete
Conditional Access Administrator,microsoft.directory/namedLocations/standard/read
Conditional Access Administrator,microsoft.directory/namedLocations/basic/update
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/create
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/delete
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/standard/read
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/read
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/policyAppliedTo/read
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/basic/update
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/update
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/tenantDefault/update
Conditional Access Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update
Reports Reader,microsoft.directory/auditLogs/allProperties/read
Reports Reader,microsoft.directory/provisioningLogs/allProperties/read
Reports Reader,microsoft.directory/signInReports/allProperties/read
Reports Reader,microsoft.azure.serviceHealth/allEntities/allTasks
Reports Reader,microsoft.office365.network/performance/allProperties/read
Reports Reader,microsoft.office365.usageReports/allEntities/allProperties/read
Reports Reader,microsoft.office365.webPortal/allEntities/standard/read
Message Center Reader,microsoft.office365.messageCenter/messages/read
Message Center Reader,microsoft.office365.webPortal/allEntities/standard/read
Azure Information Protection Administrator,microsoft.directory/authorizationPolicy/standard/read
Azure Information Protection Administrator,microsoft.azure.informationProtection/allEntities/allTasks
Azure Information Protection Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Azure Information Protection Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Azure Information Protection Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Azure Information Protection Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Azure Information Protection Administrator,microsoft.office365.webPortal/allEntities/standard/read
Desktop Analytics Administrator,microsoft.directory/authorizationPolicy/standard/read
Desktop Analytics Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Desktop Analytics Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Desktop Analytics Administrator,microsoft.office365.desktopAnalytics/allEntities/allTasks
License Administrator,microsoft.directory/authorizationPolicy/standard/read
License Administrator,microsoft.directory/groups/assignLicense
License Administrator,microsoft.directory/groups/reprocessLicenseAssignment
License Administrator,microsoft.directory/users/assignLicense
License Administrator,microsoft.directory/users/reprocessLicenseAssignment
License Administrator,microsoft.directory/users/usageLocation/update
License Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
License Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
License Administrator,microsoft.office365.webPortal/allEntities/standard/read
Cloud Device Administrator,microsoft.directory/auditLogs/allProperties/read
Cloud Device Administrator,microsoft.directory/authorizationPolicy/standard/read
Cloud Device Administrator,microsoft.directory/bitlockerKeys/key/read
Cloud Device Administrator,microsoft.directory/deletedItems.devices/delete
Cloud Device Administrator,microsoft.directory/deletedItems.devices/restore
Cloud Device Administrator,microsoft.directory/devices/delete
Cloud Device Administrator,microsoft.directory/devices/disable
Cloud Device Administrator,microsoft.directory/devices/enable
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/standard/read
Cloud Device Administrator,microsoft.directory/deviceManagementPolicies/basic/update
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read
Cloud Device Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update
Cloud Device Administrator,microsoft.directory/signInReports/allProperties/read
Cloud Device Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Cloud Device Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Authentication Administrator,microsoft.directory/users/authenticationMethods/create
Authentication Administrator,microsoft.directory/users/authenticationMethods/delete
Authentication Administrator,microsoft.directory/users/authenticationMethods/standard/restrictedRead
Authentication Administrator,microsoft.directory/users/authenticationMethods/basic/update
Authentication Administrator,microsoft.directory/deletedItems.users/restore
Authentication Administrator,microsoft.directory/users/delete
Authentication Administrator,microsoft.directory/users/disable
Authentication Administrator,microsoft.directory/users/enable
Authentication Administrator,microsoft.directory/users/invalidateAllRefreshTokens
Authentication Administrator,microsoft.directory/users/restore
Authentication Administrator,microsoft.directory/users/basic/update
Authentication Administrator,microsoft.directory/users/manager/update
Authentication Administrator,microsoft.directory/users/password/update
Authentication Administrator,microsoft.directory/users/userPrincipalName/update
Authentication Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Authentication Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Authentication Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Authentication Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Authentication Administrator,microsoft.office365.webPortal/allEntities/standard/read
Privileged Authentication Administrator,microsoft.directory/users/authenticationMethods/create
Privileged Authentication Administrator,microsoft.directory/users/authenticationMethods/delete
Privileged Authentication Administrator,microsoft.directory/users/authenticationMethods/standard/read
Privileged Authentication Administrator,microsoft.directory/users/authenticationMethods/basic/update
Privileged Authentication Administrator,microsoft.directory/deletedItems.users/restore
Privileged Authentication Administrator,microsoft.directory/users/delete
Privileged Authentication Administrator,microsoft.directory/users/disable
Privileged Authentication Administrator,microsoft.directory/users/enable
Privileged Authentication Administrator,microsoft.directory/users/invalidateAllRefreshTokens
Privileged Authentication Administrator,microsoft.directory/users/restore
Privileged Authentication Administrator,microsoft.directory/users/basic/update
Privileged Authentication Administrator,microsoft.directory/users/manager/update
Privileged Authentication Administrator,microsoft.directory/users/password/update
Privileged Authentication Administrator,microsoft.directory/users/userPrincipalName/update
Privileged Authentication Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Privileged Authentication Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Privileged Authentication Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Privileged Authentication Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Privileged Authentication Administrator,microsoft.office365.webPortal/allEntities/standard/read
Teams Communications Administrator,microsoft.directory/authorizationPolicy/standard/read
Teams Communications Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Teams Communications Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Teams Communications Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Teams Communications Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks
Teams Communications Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Teams Communications Administrator,microsoft.office365.usageReports/allEntities/allProperties/read
Teams Communications Administrator,microsoft.office365.webPortal/allEntities/standard/read
Teams Communications Administrator,microsoft.teams/callQuality/allProperties/read
Teams Communications Administrator,microsoft.teams/meetings/allProperties/allTasks
Teams Communications Administrator,microsoft.teams/voice/allProperties/allTasks
Teams Communications Support Engineer,microsoft.directory/authorizationPolicy/standard/read
Teams Communications Support Engineer,microsoft.azure.serviceHealth/allEntities/allTasks
Teams Communications Support Engineer,microsoft.office365.serviceHealth/allEntities/allTasks
Teams Communications Support Engineer,microsoft.office365.skypeForBusiness/allEntities/allTasks
Teams Communications Support Engineer,microsoft.office365.webPortal/allEntities/standard/read
Teams Communications Support Engineer,microsoft.teams/callQuality/allProperties/read
Teams Communications Support Specialist,microsoft.directory/authorizationPolicy/standard/read
Teams Communications Support Specialist,microsoft.azure.serviceHealth/allEntities/allTasks
Teams Communications Support Specialist,microsoft.office365.serviceHealth/allEntities/allTasks
Teams Communications Support Specialist,microsoft.office365.skypeForBusiness/allEntities/allTasks
Teams Communications Support Specialist,microsoft.office365.webPortal/allEntities/standard/read
Teams Communications Support Specialist,microsoft.teams/callQuality/standard/read
Teams Administrator,microsoft.directory/authorizationPolicy/standard/read
Teams Administrator,microsoft.directory/groups/hiddenMembers/read
Teams Administrator,microsoft.directory/groups.unified/create
Teams Administrator,microsoft.directory/groups.unified/delete
Teams Administrator,microsoft.directory/groups.unified/restore
Teams Administrator,microsoft.directory/groups.unified/basic/update
Teams Administrator,microsoft.directory/groups.unified/members/update
Teams Administrator,microsoft.directory/groups.unified/owners/update
Teams Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Teams Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Teams Administrator,microsoft.office365.network/performance/allProperties/read
Teams Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Teams Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks
Teams Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Teams Administrator,microsoft.office365.usageReports/allEntities/allProperties/read
Teams Administrator,microsoft.office365.webPortal/allEntities/standard/read
Teams Administrator,microsoft.teams/allEntities/allProperties/allTasks
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/create
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read
Teams Administrator,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update
Insights Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Insights Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Insights Administrator,microsoft.insights/allEntities/allProperties/allTasks
Insights Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Insights Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Insights Administrator,microsoft.office365.webPortal/allEntities/standard/read
Message Center Privacy Reader,microsoft.office365.messageCenter/messages/read
Message Center Privacy Reader,microsoft.office365.messageCenter/securityMessages/read
Message Center Privacy Reader,microsoft.office365.webPortal/allEntities/standard/read
External ID User Flow Administrator,microsoft.directory/b2cUserFlow/allProperties/allTasks
External ID User Flow Attribute Administrator,microsoft.directory/b2cUserAttribute/allProperties/allTasks
B2C IEF Keyset Administrator,microsoft.directory/b2cTrustFrameworkKeySet/allProperties/allTasks
B2C IEF Policy Administrator,microsoft.directory/b2cTrustFrameworkPolicy/allProperties/allTasks
External Identity Provider Administrator,microsoft.directory/domains/federation/update
External Identity Provider Administrator,microsoft.directory/identityProviders/allProperties/allTasks
Compliance Data Administrator,microsoft.directory/authorizationPolicy/standard/read
Compliance Data Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks
Compliance Data Administrator,microsoft.azure.informationProtection/allEntities/allTasks
Compliance Data Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Compliance Data Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Compliance Data Administrator,microsoft.office365.complianceManager/allEntities/allTasks
Compliance Data Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Compliance Data Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Compliance Data Administrator,microsoft.office365.webPortal/allEntities/standard/read
Security Operator,microsoft.directory/auditLogs/allProperties/read
Security Operator,microsoft.directory/authorizationPolicy/standard/read
Security Operator,microsoft.directory/cloudAppSecurity/allProperties/allTasks
Security Operator,microsoft.directory/identityProtection/allProperties/allTasks
Security Operator,microsoft.directory/privilegedIdentityManagement/allProperties/read
Security Operator,microsoft.directory/provisioningLogs/allProperties/read
Security Operator,microsoft.directory/signInReports/allProperties/read
Security Operator,microsoft.azure.advancedThreatProtection/allEntities/allTasks
Security Operator,microsoft.azure.supportTickets/allEntities/allTasks
Security Operator,microsoft.intune/allEntities/read
Security Operator,microsoft.office365.securityComplianceCenter/allEntities/allTasks
Security Operator,microsoft.office365.supportTickets/allEntities/allTasks
Security Operator,microsoft.windows.defenderAdvancedThreatProtection/allEntities/allTasks
Kaizala Administrator,microsoft.directory/authorizationPolicy/standard/read
Kaizala Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Kaizala Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Kaizala Administrator,microsoft.office365.webPortal/allEntities/standard/read
Global Reader,microsoft.directory/accessReviews/allProperties/read
Global Reader,microsoft.directory/accessReviews/definitions/allProperties/read
Global Reader,microsoft.directory/adminConsentRequestPolicy/allProperties/read
Global Reader,microsoft.directory/administrativeUnits/allProperties/read
Global Reader,microsoft.directory/appConsent/appConsentRequests/allProperties/read
Global Reader,microsoft.directory/applications/allProperties/read
Global Reader,microsoft.directory/applications/synchronization/standard/read
Global Reader,microsoft.directory/auditLogs/allProperties/read
Global Reader,microsoft.directory/users/authenticationMethods/standard/restrictedRead
Global Reader,microsoft.directory/authorizationPolicy/standard/read
Global Reader,microsoft.directory/bitlockerKeys/key/read
Global Reader,microsoft.directory/cloudAppSecurity/allProperties/read
Global Reader,microsoft.directory/connectors/allProperties/read
Global Reader,microsoft.directory/connectorGroups/allProperties/read
Global Reader,microsoft.directory/contacts/allProperties/read
Global Reader,microsoft.directory/customAuthenticationExtensions/allProperties/read
Global Reader,microsoft.directory/devices/allProperties/read
Global Reader,microsoft.directory/directoryRoles/allProperties/read
Global Reader,microsoft.directory/directoryRoleTemplates/allProperties/read
Global Reader,microsoft.directory/domains/allProperties/read
Global Reader,microsoft.directory/domains/federationConfiguration/standard/read
Global Reader,microsoft.directory/entitlementManagement/allProperties/read
Global Reader,microsoft.directory/groups/allProperties/read
Global Reader,microsoft.directory/groupSettings/allProperties/read
Global Reader,microsoft.directory/groupSettingTemplates/allProperties/read
Global Reader,microsoft.directory/identityProtection/allProperties/read
Global Reader,microsoft.directory/loginOrganizationBranding/allProperties/read
Global Reader,microsoft.directory/namedLocations/standard/read
Global Reader,microsoft.directory/oAuth2PermissionGrants/allProperties/read
Global Reader,microsoft.directory/organization/allProperties/read
Global Reader,microsoft.directory/permissionGrantPolicies/standard/read
Global Reader,microsoft.directory/policies/allProperties/read
Global Reader,microsoft.directory/conditionalAccessPolicies/allProperties/read
Global Reader,microsoft.directory/crossTenantAccessPolicy/standard/read
Global Reader,microsoft.directory/crossTenantAccessPolicy/default/standard/read
Global Reader,microsoft.directory/crossTenantAccessPolicy/partners/standard/read
Global Reader,microsoft.directory/deviceManagementPolicies/standard/read
Global Reader,microsoft.directory/deviceRegistrationPolicy/standard/read
Global Reader,microsoft.directory/privilegedIdentityManagement/allProperties/read
Global Reader,microsoft.directory/provisioningLogs/allProperties/read
Global Reader,microsoft.directory/roleAssignments/allProperties/read
Global Reader,microsoft.directory/roleDefinitions/allProperties/read
Global Reader,microsoft.directory/scopedRoleMemberships/allProperties/read
Global Reader,microsoft.directory/serviceAction/getAvailableExtentionProperties
Global Reader,microsoft.directory/servicePrincipals/allProperties/read
Global Reader,microsoft.directory/servicePrincipalCreationPolicies/standard/read
Global Reader,microsoft.directory/servicePrincipals/synchronization/standard/read
Global Reader,microsoft.directory/signInReports/allProperties/read
Global Reader,microsoft.directory/subscribedSkus/allProperties/read
Global Reader,microsoft.directory/users/allProperties/read
Global Reader,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read
Global Reader,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read
Global Reader,microsoft.directory/verifiableCredentials/configuration/allProperties/read
Global Reader,microsoft.directory/lifecycleWorkflows/workflows/allProperties/read
Global Reader,microsoft.cloudPC/allEntities/allProperties/read
Global Reader,microsoft.commerce.billing/allEntities/allProperties/read
Global Reader,microsoft.commerce.billing/purchases/standard/read
Global Reader,microsoft.edge/allEntities/allProperties/read
Global Reader,microsoft.hardware.support/shippingAddress/allProperties/read
Global Reader,microsoft.hardware.support/shippingStatus/allProperties/read
Global Reader,microsoft.hardware.support/warrantyClaims/allProperties/read
Global Reader,microsoft.insights/allEntities/allProperties/read
Global Reader,microsoft.office365.messageCenter/messages/read
Global Reader,microsoft.office365.messageCenter/securityMessages/read
Global Reader,microsoft.office365.network/performance/allProperties/read
Global Reader,microsoft.office365.organizationalMessages/allEntities/allProperties/read
Global Reader,microsoft.office365.protectionCenter/allEntities/allProperties/read
Global Reader,microsoft.office365.securityComplianceCenter/allEntities/read
Global Reader,microsoft.office365.usageReports/allEntities/allProperties/read
Global Reader,microsoft.office365.webPortal/allEntities/standard/read
Global Reader,microsoft.office365.yammer/allEntities/allProperties/read
Global Reader,microsoft.permissionsManagement/allEntities/allProperties/read
Global Reader,microsoft.teams/allEntities/allProperties/read
Global Reader,microsoft.virtualVisits/allEntities/allProperties/read
Global Reader,microsoft.windows.updatesDeployments/allEntities/allProperties/read
Search Administrator,microsoft.office365.messageCenter/messages/read
Search Administrator,microsoft.office365.search/content/manage
Search Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Search Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Search Administrator,microsoft.office365.webPortal/allEntities/standard/read
Search Editor,microsoft.office365.messageCenter/messages/read
Search Editor,microsoft.office365.search/content/manage
Search Editor,microsoft.office365.webPortal/allEntities/standard/read
Password Administrator,microsoft.directory/users/password/update
Password Administrator,microsoft.office365.webPortal/allEntities/standard/read
Printer Administrator,microsoft.azure.print/allEntities/allProperties/allTasks
Printer Technician,microsoft.azure.print/connectors/allProperties/read
Printer Technician,microsoft.azure.print/printers/allProperties/read
Printer Technician,microsoft.azure.print/printers/register
Printer Technician,microsoft.azure.print/printers/unregister
Printer Technician,microsoft.azure.print/printers/basic/update
Authentication Policy Administrator,microsoft.directory/organization/strongAuthentication/allTasks
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/create
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/delete
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/standard/read
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/read
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/policyAppliedTo/read
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/basic/update
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/owners/update
Authentication Policy Administrator,microsoft.directory/userCredentialPolicies/tenantDefault/update
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/create
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/delete
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read
Authentication Policy Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update
Authentication Policy Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Groups Administrator,microsoft.directory/deletedItems.groups/delete
Groups Administrator,microsoft.directory/deletedItems.groups/restore
Groups Administrator,microsoft.directory/groups/assignLicense
Groups Administrator,microsoft.directory/groups/create
Groups Administrator,microsoft.directory/groups/delete
Groups Administrator,microsoft.directory/groups/hiddenMembers/read
Groups Administrator,microsoft.directory/groups/reprocessLicenseAssignment
Groups Administrator,microsoft.directory/groups/restore
Groups Administrator,microsoft.directory/groups/basic/update
Groups Administrator,microsoft.directory/groups/classification/update
Groups Administrator,microsoft.directory/groups/dynamicMembershipRule/update
Groups Administrator,microsoft.directory/groups/groupType/update
Groups Administrator,microsoft.directory/groups/members/update
Groups Administrator,microsoft.directory/groups/onPremWriteBack/update
Groups Administrator,microsoft.directory/groups/owners/update
Groups Administrator,microsoft.directory/groups/settings/update
Groups Administrator,microsoft.directory/groups/visibility/update
Groups Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Groups Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Groups Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Groups Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Groups Administrator,microsoft.office365.webPortal/allEntities/standard/read
Power Platform Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Power Platform Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Power Platform Administrator,microsoft.dynamics365/allEntities/allTasks
Power Platform Administrator,microsoft.flow/allEntities/allTasks
Power Platform Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Power Platform Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Power Platform Administrator,microsoft.office365.webPortal/allEntities/standard/read
Power Platform Administrator,microsoft.powerApps/allEntities/allTasks
Azure DevOps Administrator,microsoft.azure.devOps/allEntities/allTasks
Hybrid Identity Administrator,microsoft.directory/applications/create
Hybrid Identity Administrator,microsoft.directory/applications/delete
Hybrid Identity Administrator,microsoft.directory/applications/appRoles/update
Hybrid Identity Administrator,microsoft.directory/applications/audience/update
Hybrid Identity Administrator,microsoft.directory/applications/authentication/update
Hybrid Identity Administrator,microsoft.directory/applications/basic/update
Hybrid Identity Administrator,microsoft.directory/applications/notes/update
Hybrid Identity Administrator,microsoft.directory/applications/owners/update
Hybrid Identity Administrator,microsoft.directory/applications/permissions/update
Hybrid Identity Administrator,microsoft.directory/applications/policies/update
Hybrid Identity Administrator,microsoft.directory/applications/tag/update
Hybrid Identity Administrator,microsoft.directory/applications/synchronization/standard/read
Hybrid Identity Administrator,microsoft.directory/applicationTemplates/instantiate
Hybrid Identity Administrator,microsoft.directory/auditLogs/allProperties/read
Hybrid Identity Administrator,microsoft.directory/cloudProvisioning/allProperties/allTasks
Hybrid Identity Administrator,microsoft.directory/deletedItems.applications/delete
Hybrid Identity Administrator,microsoft.directory/deletedItems.applications/restore
Hybrid Identity Administrator,microsoft.directory/domains/allProperties/read
Hybrid Identity Administrator,microsoft.directory/domains/federation/update
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/standard/read
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/basic/update
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/create
Hybrid Identity Administrator,microsoft.directory/domains/federationConfiguration/delete
Hybrid Identity Administrator,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks
Hybrid Identity Administrator,microsoft.directory/organization/dirSync/update
Hybrid Identity Administrator,microsoft.directory/passwordHashSync/allProperties/allTasks
Hybrid Identity Administrator,microsoft.directory/provisioningLogs/allProperties/read
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/create
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/delete
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/disable
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/enable
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationCredentials/manage
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationJobs/manage
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronizationSchema/manage
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/audience/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/authentication/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/basic/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/notes/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/owners/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/permissions/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/policies/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/tag/update
Hybrid Identity Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read
Hybrid Identity Administrator,microsoft.directory/signInReports/allProperties/read
Hybrid Identity Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Hybrid Identity Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Hybrid Identity Administrator,microsoft.office365.messageCenter/messages/read
Hybrid Identity Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Hybrid Identity Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Hybrid Identity Administrator,microsoft.office365.webPortal/allEntities/standard/read
Office Apps Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Office Apps Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Office Apps Administrator,microsoft.office365.messageCenter/messages/read
Office Apps Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Office Apps Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Office Apps Administrator,microsoft.office365.userCommunication/allEntities/allTasks
Office Apps Administrator,microsoft.office365.webPortal/allEntities/standard/read
Network Administrator,microsoft.office365.network/locations/allProperties/allTasks
Network Administrator,microsoft.office365.network/performance/allProperties/read
Network Administrator,microsoft.office365.webPortal/allEntities/standard/read
Insights Business Leader,microsoft.insights/reports/allProperties/read
Insights Business Leader,microsoft.insights/programs/allProperties/update
Teams Devices Administrator,microsoft.office365.webPortal/allEntities/standard/read
Teams Devices Administrator,microsoft.teams/devices/standard/read
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read
Attack Simulation Administrator,microsoft.office365.protectionCenter/attackSimulator/simulation/allProperties/allTasks
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/payload/allProperties/allTasks
Attack Payload Author,microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read
Usage Summary Reports Reader,microsoft.office365.network/performance/allProperties/read
Usage Summary Reports Reader,microsoft.office365.usageReports/allEntities/standard/read
Usage Summary Reports Reader,microsoft.office365.webPortal/allEntities/standard/read
Knowledge Administrator,microsoft.directory/groups.security/create
Knowledge Administrator,microsoft.directory/groups.security/createAsOwner
Knowledge Administrator,microsoft.directory/groups.security/delete
Knowledge Administrator,microsoft.directory/groups.security/basic/update
Knowledge Administrator,microsoft.directory/groups.security/members/update
Knowledge Administrator,microsoft.directory/groups.security/owners/update
Knowledge Administrator,microsoft.office365.knowledge/contentUnderstanding/allProperties/allTasks
Knowledge Administrator,microsoft.office365.knowledge/knowledgeNetwork/allProperties/allTasks
Knowledge Administrator,microsoft.office365.knowledge/learningSources/allProperties/allTasks
Knowledge Administrator,microsoft.office365.protectionCenter/sensitivityLabels/allProperties/read
Knowledge Administrator,microsoft.office365.sharePoint/allEntities/allTasks
Knowledge Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Knowledge Administrator,microsoft.office365.webPortal/allEntities/standard/read
Knowledge Manager,microsoft.directory/groups.security/create
Knowledge Manager,microsoft.directory/groups.security/createAsOwner
Knowledge Manager,microsoft.directory/groups.security/delete
Knowledge Manager,microsoft.directory/groups.security/basic/update
